value,area,urban,gender
277,Тверская область,Городское население,Оба пола
141,Тверская область,Городское население,Мужчины
136,Тверская область,Городское население,Женщины
117,Тверская область,Сельское население,Оба пола
53,Тверская область,Сельское население,Мужчины
64,Тверская область,Сельское население,Женщины
406,Тульская область,Городское и сельское население,Оба пола
217,Тульская область,Городское и сельское население,Мужчины
189,Тульская область,Городское и сельское население,Женщины
256,Тульская область,Городское население,Оба пола
129,Тульская область,Городское население,Мужчины
127,Тульская область,Городское население,Женщины
150,Тульская область,Сельское население,Оба пола
88,Тульская область,Сельское население,Мужчины
62,Тульская область,Сельское население,Женщины
335,Ярославская область,Городское и сельское население,Оба пола
169,Ярославская область,Городское и сельское население,Мужчины
166,Ярославская область,Городское и сельское население,Женщины
241,Ярославская область,Городское население,Оба пола
125,Ярославская область,Городское население,Мужчины
116,Ярославская область,Городское население,Женщины
94,Ярославская область,Сельское население,Оба пола
44,Ярославская область,Сельское население,Мужчины
50,Ярославская область,Сельское население,Женщины
1449,Город федерального значения Москва,Городское и сельское население,Оба пола
715,Город федерального значения Москва,Городское и сельское население,Мужчины
734,Город федерального значения Москва,Городское и сельское население,Женщины
1418,Город федерального значения Москва,Городское население,Оба пола
706,Город федерального значения Москва,Городское население,Мужчины
712,Город федерального значения Москва,Городское население,Женщины
31,Город федерального значения Москва,Сельское население,Оба пола
9,Город федерального значения Москва,Сельское население,Мужчины
22,Город федерального значения Москва,Сельское население,Женщины
3197,Северо-Западный федеральный округ,Городское и сельское население,Оба пола
1646,Северо-Западный федеральный округ,Городское и сельское население,Мужчины
1551,Северо-Западный федеральный округ,Городское и сельское население,Женщины
2334,Северо-Западный федеральный округ,Городское население,Оба пола
1196,Северо-Западный федеральный округ,Городское население,Мужчины
1138,Северо-Западный федеральный округ,Городское население,Женщины
863,Северо-Западный федеральный округ,Сельское население,Оба пола
450,Северо-Западный федеральный округ,Сельское население,Мужчины
413,Северо-Западный федеральный округ,Сельское население,Женщины
182,Республика Карелия,Городское и сельское население,Оба пола
87,Республика Карелия,Городское и сельское население,Мужчины
95,Республика Карелия,Городское и сельское население,Женщины
124,Республика Карелия,Городское население,Оба пола
62,Республика Карелия,Городское население,Мужчины
62,Республика Карелия,Городское население,Женщины
58,Республика Карелия,Сельское население,Оба пола
25,Республика Карелия,Сельское население,Мужчины
33,Республика Карелия,Сельское население,Женщины
253,Республика Коми,Городское и сельское население,Оба пола
128,Республика Коми,Городское и сельское население,Мужчины
125,Республика Коми,Городское и сельское население,Женщины
178,Республика Коми,Городское население,Оба пола
82,Республика Коми,Городское население,Мужчины
96,Республика Коми,Городское население,Женщины
75,Республика Коми,Сельское население,Оба пола
46,Республика Коми,Сельское население,Мужчины
29,Республика Коми,Сельское население,Женщины
304,Архангельская область,Городское и сельское население,Оба пола
160,Архангельская область,Городское и сельское население,Мужчины
144,Архангельская область,Городское и сельское население,Женщины
209,Архангельская область,Городское население,Оба пола
106,Архангельская область,Городское население,Мужчины
103,Архангельская область,Городское население,Женщины
95,Архангельская область,Сельское население,Оба пола
54,Архангельская область,Сельское население,Мужчины
41,Архангельская область,Сельское население,Женщины
45,Ненецкий автономный округ,Городское и сельское население,Оба пола
20,Ненецкий автономный округ,Городское и сельское население,Мужчины
25,Ненецкий автономный округ,Городское и сельское население,Женщины
28,Ненецкий автономный округ,Городское население,Оба пола
10,Ненецкий автономный округ,Городское население,Мужчины
18,Ненецкий автономный округ,Городское население,Женщины
17,Ненецкий автономный округ,Сельское население,Оба пола
10,Ненецкий автономный округ,Сельское население,Мужчины
7,Ненецкий автономный округ,Сельское население,Женщины
287,Вологодская область,Городское и сельское население,Оба пола
139,Вологодская область,Городское и сельское население,Мужчины
148,Вологодская область,Городское и сельское население,Женщины
194,Вологодская область,Городское население,Оба пола
96,Вологодская область,Городское население,Мужчины
98,Вологодская область,Городское население,Женщины
93,Вологодская область,Сельское население,Оба пола
43,Вологодская область,Сельское население,Мужчины
50,Вологодская область,Сельское население,Женщины
309,Калининградская область,Городское и сельское население,Оба пола
167,Калининградская область,Городское и сельское население,Мужчины
142,Калининградская область,Городское и сельское население,Женщины
177,Калининградская область,Городское население,Оба пола
90,Калининградская область,Городское население,Мужчины
87,Калининградская область,Городское население,Женщины
132,Калининградская область,Сельское население,Оба пола
77,Калининградская область,Сельское население,Мужчины
55,Калининградская область,Сельское население,Женщины
364,Ленинградская область,Городское и сельское население,Оба пола
179,Ленинградская область,Городское и сельское население,Мужчины
185,Ленинградская область,Городское и сельское население,Женщины
212,Ленинградская область,Городское население,Оба пола
113,Ленинградская область,Городское население,Мужчины
99,Ленинградская область,Городское население,Женщины
152,Ленинградская область,Сельское население,Оба пола
66,Ленинградская область,Сельское население,Мужчины
86,Ленинградская область,Сельское население,Женщины
188,Мурманская область,Городское и сельское население,Оба пола
96,Мурманская область,Городское и сельское население,Мужчины
92,Мурманская область,Городское и сельское население,Женщины
156,Мурманская область,Городское население,Оба пола
78,Мурманская область,Городское население,Мужчины
78,Мурманская область,Городское население,Женщины
32,Мурманская область,Сельское население,Оба пола
18,Мурманская область,Сельское население,Мужчины
14,Мурманская область,Сельское население,Женщины
303,Новгородская область,Городское и сельское население,Оба пола
156,Новгородская область,Городское и сельское население,Мужчины
147,Новгородская область,Городское и сельское население,Женщины
169,Новгородская область,Городское население,Оба пола
85,Новгородская область,Городское население,Мужчины
84,Новгородская область,Городское население,Женщины
134,Новгородская область,Сельское население,Оба пола
71,Новгородская область,Сельское население,Мужчины
63,Новгородская область,Сельское население,Женщины
242,Псковская область,Городское и сельское население,Оба пола
131,Псковская область,Городское и сельское население,Мужчины
111,Псковская область,Городское и сельское население,Женщины
150,Псковская область,Городское население,Оба пола
81,Псковская область,Городское население,Мужчины
69,Псковская область,Городское население,Женщины
92,Псковская область,Сельское население,Оба пола
50,Псковская область,Сельское население,Мужчины
42,Псковская область,Сельское население,Женщины
765,Город федерального значения Санкт-Петербург,Городское и сельское население,Оба пола
403,Город федерального значения Санкт-Петербург,Городское и сельское население,Мужчины
362,Город федерального значения Санкт-Петербург,Городское и сельское население,Женщины
3160,Южный федеральный округ,Городское и сельское население,Оба пола
1553,Южный федеральный округ,Городское и сельское население,Мужчины
1607,Южный федеральный округ,Городское и сельское население,Женщины
1874,Южный федеральный округ,Городское население,Оба пола
884,Южный федеральный округ,Городское население,Мужчины
990,Южный федеральный округ,Городское население,Женщины
1286,Южный федеральный округ,Сельское население,Оба пола
669,Южный федеральный округ,Сельское население,Мужчины
617,Южный федеральный округ,Сельское население,Женщины
272,Республика Адыгея,Городское и сельское население,Оба пола
125,Республика Адыгея,Городское и сельское население,Мужчины
147,Республика Адыгея,Городское и сельское население,Женщины
145,Республика Адыгея,Городское население,Оба пола
66,Республика Адыгея,Городское население,Мужчины
79,Республика Адыгея,Городское население,Женщины
127,Республика Адыгея,Сельское население,Оба пола
59,Республика Адыгея,Сельское население,Мужчины
68,Республика Адыгея,Сельское население,Женщины
261,Республика Калмыкия,Городское и сельское население,Оба пола
131,Республика Калмыкия,Городское и сельское население,Мужчины
130,Республика Калмыкия,Городское и сельское население,Женщины
119,Республика Калмыкия,Городское население,Оба пола
54,Республика Калмыкия,Городское население,Мужчины
65,Республика Калмыкия,Городское население,Женщины
142,Республика Калмыкия,Сельское население,Оба пола
77,Республика Калмыкия,Сельское население,Мужчины
65,Республика Калмыкия,Сельское население,Женщины
893,Краснодарский край,Городское и сельское население,Оба пола
441,Краснодарский край,Городское и сельское население,Мужчины
452,Краснодарский край,Городское и сельское население,Женщины
466,Краснодарский край,Городское население,Оба пола
216,Краснодарский край,Городское население,Мужчины
250,Краснодарский край,Городское население,Женщины
427,Краснодарский край,Сельское население,Оба пола
225,Краснодарский край,Сельское население,Мужчины
202,Краснодарский край,Сельское население,Женщины
317,Астраханская область,Городское и сельское население,Оба пола
145,Астраханская область,Городское и сельское население,Мужчины
172,Астраханская область,Городское и сельское население,Женщины
196,Астраханская область,Городское население,Оба пола
86,Астраханская область,Городское население,Мужчины
110,Астраханская область,Городское население,Женщины
121,Астраханская область,Сельское население,Оба пола
59,Астраханская область,Сельское население,Мужчины
62,Астраханская область,Сельское население,Женщины
569,Волгоградская область,Городское и сельское население,Оба пола
284,Волгоградская область,Городское и сельское население,Мужчины
285,Волгоградская область,Городское и сельское население,Женщины
367,Волгоградская область,Городское население,Оба пола
179,Волгоградская область,Городское население,Мужчины
188,Волгоградская область,Городское население,Женщины
202,Волгоградская область,Сельское население,Оба пола
105,Волгоградская область,Сельское население,Мужчины
97,Волгоградская область,Сельское население,Женщины
848,Ростовская область,Городское и сельское население,Оба пола
427,Ростовская область,Городское и сельское население,Мужчины
421,Ростовская область,Городское и сельское население,Женщины
581,Ростовская область,Городское население,Оба пола
283,Ростовская область,Городское население,Мужчины
298,Ростовская область,Городское население,Женщины
267,Ростовская область,Сельское население,Оба пола
144,Ростовская область,Сельское население,Мужчины
123,Ростовская область,Сельское население,Женщины
3684,Северо-Кавказский федеральный округ,Городское и сельское население,Оба пола
1752,Северо-Кавказский федеральный округ,Городское и сельское население,Мужчины
1932,Северо-Кавказский федеральный округ,Городское и сельское население,Женщины
1797,Северо-Кавказский федеральный округ,Городское население,Оба пола
824,Северо-Кавказский федеральный округ,Городское население,Мужчины
973,Северо-Кавказский федеральный округ,Городское население,Женщины
1887,Северо-Кавказский федеральный округ,Сельское население,Оба пола
928,Северо-Кавказский федеральный округ,Сельское население,Мужчины
959,Северо-Кавказский федеральный округ,Сельское население,Женщины
1012,Республика Дагестан,Городское и сельское население,Оба пола
495,Республика Дагестан,Городское и сельское население,Мужчины
517,Республика Дагестан,Городское и сельское население,Женщины
439,Республика Дагестан,Городское население,Оба пола
212,Республика Дагестан,Городское население,Мужчины
227,Республика Дагестан,Городское население,Женщины
573,Республика Дагестан,Сельское население,Оба пола
283,Республика Дагестан,Сельское население,Мужчины
290,Республика Дагестан,Сельское население,Женщины
422,Республика Ингушетия,Городское и сельское население,Оба пола
194,Республика Ингушетия,Городское и сельское население,Мужчины
228,Республика Ингушетия,Городское и сельское население,Женщины
179,Республика Ингушетия,Городское население,Оба пола
87,Республика Ингушетия,Городское население,Мужчины
92,Республика Ингушетия,Городское население,Женщины
243,Республика Ингушетия,Сельское население,Оба пола
107,Республика Ингушетия,Сельское население,Мужчины
136,Республика Ингушетия,Сельское население,Женщины
368,Кабардино-Балкарская Республика,Городское и сельское население,Оба пола
180,Кабардино-Балкарская Республика,Городское и сельское население,Мужчины
188,Кабардино-Балкарская Республика,Городское и сельское население,Женщины
236,Кабардино-Балкарская Республика,Городское население,Оба пола
118,Кабардино-Балкарская Республика,Городское население,Мужчины
118,Кабардино-Балкарская Республика,Городское население,Женщины
132,Кабардино-Балкарская Республика,Сельское население,Оба пола
62,Кабардино-Балкарская Республика,Сельское население,Мужчины
70,Кабардино-Балкарская Республика,Сельское население,Женщины
209,Карачаево-Черкесская Республика,Городское и сельское население,Оба пола
103,Карачаево-Черкесская Республика,Городское и сельское население,Мужчины
106,Карачаево-Черкесская Республика,Городское и сельское население,Женщины
77,Карачаево-Черкесская Республика,Городское население,Оба пола
26,Карачаево-Черкесская Республика,Городское население,Мужчины
51,Карачаево-Черкесская Республика,Городское население,Женщины
132,Карачаево-Черкесская Республика,Сельское население,Оба пола
77,Карачаево-Черкесская Республика,Сельское население,Мужчины
55,Карачаево-Черкесская Республика,Сельское население,Женщины
383,Республика Северная Осетия-Алания,Городское и сельское население,Оба пола
178,Республика Северная Осетия-Алания,Городское и сельское население,Мужчины
205,Республика Северная Осетия-Алания,Городское и сельское население,Женщины
210,Республика Северная Осетия-Алания,Городское население,Оба пола
90,Республика Северная Осетия-Алания,Городское население,Мужчины
120,Республика Северная Осетия-Алания,Городское население,Женщины
173,Республика Северная Осетия-Алания,Сельское население,Оба пола
88,Республика Северная Осетия-Алания,Сельское население,Мужчины
85,Республика Северная Осетия-Алания,Сельское население,Женщины
609,Чеченская Республика,Городское и сельское население,Оба пола
305,Чеченская Республика,Городское и сельское население,Мужчины
304,Чеченская Республика,Городское и сельское население,Женщины
293,Чеченская Республика,Городское население,Оба пола
135,Чеченская Республика,Городское население,Мужчины
158,Чеченская Республика,Городское население,Женщины
316,Чеченская Республика,Сельское население,Оба пола
170,Чеченская Республика,Сельское население,Мужчины
146,Чеченская Республика,Сельское население,Женщины
681,Ставропольский край,Городское и сельское население,Оба пола
297,Ставропольский край,Городское и сельское население,Мужчины
384,Ставропольский край,Городское и сельское население,Женщины
363,Ставропольский край,Городское население,Оба пола
156,Ставропольский край,Городское население,Мужчины
207,Ставропольский край,Городское население,Женщины
318,Ставропольский край,Сельское население,Оба пола
141,Ставропольский край,Сельское население,Мужчины
177,Ставропольский край,Сельское население,Женщины
7061,Приволжский федеральный округ,Городское и сельское население,Оба пола
3492,Приволжский федеральный округ,Городское и сельское население,Мужчины
3569,Приволжский федеральный округ,Городское и сельское население,Женщины
4652,Приволжский федеральный округ,Городское население,Оба пола
2246,Приволжский федеральный округ,Городское население,Мужчины
2406,Приволжский федеральный округ,Городское население,Женщины
2409,Приволжский федеральный округ,Сельское население,Оба пола
1246,Приволжский федеральный округ,Сельское население,Мужчины
1163,Приволжский федеральный округ,Сельское население,Женщины
857,Республика Башкортостан,Городское и сельское население,Оба пола
421,Республика Башкортостан,Городское и сельское население,Мужчины
436,Республика Башкортостан,Городское и сельское население,Женщины
493,Республика Башкортостан,Городское население,Оба пола
240,Республика Башкортостан,Городское население,Мужчины
253,Республика Башкортостан,Городское население,Женщины
364,Республика Башкортостан,Сельское население,Оба пола
181,Республика Башкортостан,Сельское население,Мужчины
183,Республика Башкортостан,Сельское население,Женщины
253,Республика Марий Эл,Городское и сельское население,Оба пола
119,Республика Марий Эл,Городское и сельское население,Мужчины
134,Республика Марий Эл,Городское и сельское население,Женщины
134,Республика Марий Эл,Городское население,Оба пола
58,Республика Марий Эл,Городское население,Мужчины
76,Республика Марий Эл,Городское население,Женщины
119,Республика Марий Эл,Сельское население,Оба пола
61,Республика Марий Эл,Сельское население,Мужчины
58,Республика Марий Эл,Сельское население,Женщины
327,Республика Мордовия,Городское и сельское население,Оба пола
164,Республика Мордовия,Городское и сельское население,Мужчины
163,Республика Мордовия,Городское и сельское население,Женщины
218,Республика Мордовия,Городское население,Оба пола
109,Республика Мордовия,Городское население,Мужчины
109,Республика Мордовия,Городское население,Женщины
109,Республика Мордовия,Сельское население,Оба пола
55,Республика Мордовия,Сельское население,Мужчины
54,Республика Мордовия,Сельское население,Женщины
1050,Республика Татарстан,Городское и сельское население,Оба пола
503,Республика Татарстан,Городское и сельское население,Мужчины
547,Республика Татарстан,Городское и сельское население,Женщины
720,Республика Татарстан,Городское население,Оба пола
330,Республика Татарстан,Городское население,Мужчины
390,Республика Татарстан,Городское население,Женщины
330,Республика Татарстан,Сельское население,Оба пола
173,Республика Татарстан,Сельское население,Мужчины
157,Республика Татарстан,Сельское население,Женщины
370,Удмуртская Республика,Городское и сельское население,Оба пола
189,Удмуртская Республика,Городское и сельское население,Мужчины
181,Удмуртская Республика,Городское и сельское население,Женщины
251,Удмуртская Республика,Городское население,Оба пола
127,Удмуртская Республика,Городское население,Мужчины
124,Удмуртская Республика,Городское население,Женщины
119,Удмуртская Республика,Сельское население,Оба пола
62,Удмуртская Республика,Сельское население,Мужчины
57,Удмуртская Республика,Сельское население,Женщины
299,Чувашская Республика,Городское и сельское население,Оба пола
153,Чувашская Республика,Городское и сельское население,Мужчины
146,Чувашская Республика,Городское и сельское население,Женщины
203,Чувашская Республика,Городское население,Оба пола
94,Чувашская Республика,Городское население,Мужчины
109,Чувашская Республика,Городское население,Женщины
96,Чувашская Республика,Сельское население,Оба пола
59,Чувашская Республика,Сельское население,Мужчины
37,Чувашская Республика,Сельское население,Женщины
566,Пермский край ,Городское и сельское население,Оба пола
274,Пермский край ,Городское и сельское население,Мужчины
292,Пермский край ,Городское и сельское население,Женщины
391,Пермский край ,Городское население,Оба пола
186,Пермский край ,Городское население,Мужчины
205,Пермский край ,Городское население,Женщины
175,Пермский край ,Сельское население,Оба пола
88,Пермский край ,Сельское население,Мужчины
87,Пермский край ,Сельское население,Женщины
259,Кировская область,Городское и сельское население,Оба пола
137,Кировская область,Городское и сельское население,Мужчины
122,Кировская область,Городское и сельское население,Женщины
169,Кировская область,Городское население,Оба пола
89,Кировская область,Городское население,Мужчины
80,Кировская область,Городское население,Женщины
90,Кировская область,Сельское население,Оба пола
48,Кировская область,Сельское население,Мужчины
42,Кировская область,Сельское население,Женщины
757,Нижегородская область,Городское и сельское население,Оба пола
408,Нижегородская область,Городское и сельское население,Мужчины
349,Нижегородская область,Городское и сельское население,Женщины
509,Нижегородская область,Городское население,Оба пола
273,Нижегородская область,Городское население,Мужчины
236,Нижегородская область,Городское население,Женщины
248,Нижегородская область,Сельское население,Оба пола
135,Нижегородская область,Сельское население,Мужчины
113,Нижегородская область,Сельское население,Женщины
461,Оренбургская область,Городское и сельское население,Оба пола
231,Оренбургская область,Городское и сельское население,Мужчины
230,Оренбургская область,Городское и сельское население,Женщины
286,Оренбургская область,Городское население,Оба пола
137,Оренбургская область,Городское население,Мужчины
149,Оренбургская область,Городское население,Женщины
175,Оренбургская область,Сельское население,Оба пола
94,Оренбургская область,Сельское население,Мужчины
81,Оренбургская область,Сельское население,Женщины
371,Пензенская область,Городское и сельское население,Оба пола
178,Пензенская область,Городское и сельское население,Мужчины
193,Пензенская область,Городское и сельское население,Женщины
237,Пензенская область,Городское население,Оба пола
113,Пензенская область,Городское население,Мужчины
124,Пензенская область,Городское население,Женщины
134,Пензенская область,Сельское население,Оба пола
65,Пензенская область,Сельское население,Мужчины
69,Пензенская область,Сельское население,Женщины
578,Самарская область,Городское и сельское население,Оба пола
285,Самарская область,Городское и сельское население,Мужчины
293,Самарская область,Городское и сельское население,Женщины
443,Самарская область,Городское население,Оба пола
218,Самарская область,Городское население,Мужчины
225,Самарская область,Городское население,Женщины
135,Самарская область,Сельское население,Оба пола
67,Самарская область,Сельское население,Мужчины
68,Самарская область,Сельское население,Женщины
520,Саратовская область,Городское и сельское население,Оба пола
248,Саратовская область,Городское и сельское население,Мужчины
272,Саратовская область,Городское и сельское население,Женщины
339,Саратовская область,Городское население,Оба пола
148,Саратовская область,Городское население,Мужчины
191,Саратовская область,Городское население,Женщины
181,Саратовская область,Сельское население,Оба пола
100,Саратовская область,Сельское население,Мужчины
81,Саратовская область,Сельское население,Женщины
393,Ульяновская область,Городское и сельское население,Оба пола
182,Ульяновская область,Городское и сельское население,Мужчины
211,Ульяновская область,Городское и сельское население,Женщины
259,Ульяновская область,Городское население,Оба пола
124,Ульяновская область,Городское население,Мужчины
135,Ульяновская область,Городское население,Женщины
134,Ульяновская область,Сельское население,Оба пола
58,Ульяновская область,Сельское население,Мужчины
76,Ульяновская область,Сельское население,Женщины
2542,Уральский федеральный округ,Городское и сельское население,Оба пола
1294,Уральский федеральный округ,Городское и сельское население,Мужчины
1248,Уральский федеральный округ,Городское и сельское население,Женщины
1859,Уральский федеральный округ,Городское население,Оба пола
937,Уральский федеральный округ,Городское население,Мужчины
922,Уральский федеральный округ,Городское население,Женщины
683,Уральский федеральный округ,Сельское население,Оба пола
357,Уральский федеральный округ,Сельское население,Мужчины
326,Уральский федеральный округ,Сельское население,Женщины
218,Курганская область,Городское и сельское население,Оба пола
109,Курганская область,Городское и сельское население,Мужчины
109,Курганская область,Городское и сельское население,Женщины
116,Курганская область,Городское население,Оба пола
57,Курганская область,Городское население,Мужчины
59,Курганская область,Городское население,Женщины
102,Курганская область,Сельское население,Оба пола
52,Курганская область,Сельское население,Мужчины
50,Курганская область,Сельское население,Женщины
782,Свердловская область,Городское и сельское население,Оба пола
400,Свердловская область,Городское и сельское население,Мужчины
382,Свердловская область,Городское и сельское население,Женщины
629,Свердловская область,Городское население,Оба пола
314,Свердловская область,Городское население,Мужчины
315,Свердловская область,Городское население,Женщины
153,Свердловская область,Сельское население,Оба пола
86,Свердловская область,Сельское население,Мужчины
67,Свердловская область,Сельское население,Женщины
871,Тюменская область,Городское и сельское население,Оба пола
444,Тюменская область,Городское и сельское население,Мужчины
427,Тюменская область,Городское и сельское население,Женщины
607,Тюменская область,Городское население,Оба пола
312,Тюменская область,Городское население,Мужчины
295,Тюменская область,Городское население,Женщины
264,Тюменская область,Сельское население,Оба пола
132,Тюменская область,Сельское население,Мужчины
132,Тюменская область,Сельское население,Женщины
313,Ханты-Мансийский автономный округ — Югра,Городское и сельское население,Оба пола
158,Ханты-Мансийский автономный округ — Югра,Городское и сельское население,Мужчины
155,Ханты-Мансийский автономный округ — Югра,Городское и сельское население,Женщины
240,Ханты-Мансийский автономный округ — Югра,Городское население,Оба пола
117,Ханты-Мансийский автономный округ — Югра,Городское население,Мужчины
123,Ханты-Мансийский автономный округ — Югра,Городское население,Женщины
73,Ханты-Мансийский автономный округ — Югра,Сельское население,Оба пола
41,Ханты-Мансийский автономный округ — Югра,Сельское население,Мужчины
32,Ханты-Мансийский автономный округ — Югра,Сельское население,Женщины
214,Ямало-Ненецкий автономный округ,Городское и сельское население,Оба пола
119,Ямало-Ненецкий автономный округ,Городское и сельское население,Мужчины
95,Ямало-Ненецкий автономный округ,Городское и сельское население,Женщины
153,Ямало-Ненецкий автономный округ,Городское население,Оба пола
88,Ямало-Ненецкий автономный округ,Городское население,Мужчины
65,Ямало-Ненецкий автономный округ,Городское население,Женщины
61,Ямало-Ненецкий автономный округ,Сельское население,Оба пола
